teacher_seed,canonical_run_id,phase_label,availability_status,training_step,train_accuracy,test_accuracy,train_loss,test_loss,transition_target,transition_absolute_distance,stable_supporting_sequence_steps,checkpoint_path,checkpoint_sha256,unavailable_reason
0,stage18-main-training-s0-58b8c1235464,pre-grokking,unavailable,,,,,,,,,,,no saved checkpoint satisfies the frozen pre-grokking rule
0,stage18-main-training-s0-58b8c1235464,50%,unavailable,,,,,,,,,,,selected pre-grokking bound is unavailable
0,stage18-main-training-s0-58b8c1235464,stable post-grokking,selected,5900,1.0,0.9958608150482178,0.0007159754168242216,0.021360142156481743,,,5700|5750|5800|5850|5900,checkpoints/stage18-main-training-s0-58b8c1235464/step_00005900.pt,f8f0fc43c559aa6f63e796a62627b8657a789a34f558b81ee33fbc6cc8968bc6,
1,modular-addition-training-s1-5f1bc9dee7ab,pre-grokking,selected,200,1.0,0.0485512912273407,0.02843901701271534,18.2559814453125,,,,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00000200.pt,815265490d13d24a0d6d29eb99a900ee186f78cd0a63593de1a62af7ce710f7a,
1,modular-addition-training-s1-5f1bc9dee7ab,50%,selected,8150,1.0,0.4858485162258148,0.00031825259793549776,3.8397655487060547,0.5,0.01415148377418518,,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00008150.pt,94d77d3cfefba5700b9f1fcf6f393cc7a6f94e0447d55be1e8d6d786ce7d5810,
1,modular-addition-training-s1-5f1bc9dee7ab,stable post-grokking,selected,9050,1.0,0.9991050362586975,1.168965241049591e-06,0.0027095251716673374,,,8850|8900|8950|9000|9050,checkpoints/modular-addition-training-s1-5f1bc9dee7ab/step_00009050.pt,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,
2,stage18-main-training-s2-c70f62c0fa7c,pre-grokking,selected,2300,1.0,0.04989372566342354,7.058526989567326e-06,24.586164474487305,,,,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00002300.pt,51eac6ed3f53c1c05c9cb7f9832edadb7b43732aee88157f39ae5deaad739cfb,
2,stage18-main-training-s2-c70f62c0fa7c,50%,selected,6450,1.0,0.5151582956314087,1.4975530575611629e-06,3.697549343109131,0.5,0.015158295631408691,,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00006450.pt,127fce6d5ce5b58b458e44da20ee7784f0006374a300ec1b2ea4af6a99618b74,
2,stage18-main-training-s2-c70f62c0fa7c,stable post-grokking,selected,7750,1.0,0.9973151087760925,5.807635261589894e-07,0.009104087948799133,,,7550|7600|7650|7700|7750,checkpoints/stage18-main-training-s2-c70f62c0fa7c/step_00007750.pt,3a3df671d9a528fda0c9119c14a8013b8f05f4732e015e2d1382550142282dcc,
3,stage18-main-training-s3-4c0c7c63ce2f,pre-grokking,selected,4600,1.0,0.049669984728097916,0.0005734183359891176,16.01673698425293,,,,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00004600.pt,66887644c7534e21a72a294968726c0eb0e0313609d0dbc541c94243fa734c7c,
3,stage18-main-training-s3-4c0c7c63ce2f,50%,selected,8700,1.0,0.5120259523391724,6.409701745724306e-05,2.8975980281829834,0.5,0.012025952339172363,,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00008700.pt,db3bd7645d9850dd1158c8c72e54999893bd4a5ac3eb3bd21c82ed1bda1bb728,
3,stage18-main-training-s3-4c0c7c63ce2f,stable post-grokking,selected,10400,1.0,0.9984338283538818,7.139478270801192e-07,0.0033470268826931715,,,10200|10250|10300|10350|10400,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00010400.pt,3c32c3bec2891e4e2ec7285e8b48748ff0fd4abd67aa21d3beb60c38f56ca87a,
4,stage18-main-training-s4-c2881c226349,pre-grokking,selected,2300,1.0,0.04989372566342354,1.4030555576027837e-05,21.46164894104004,,,,checkpoints/stage18-main-training-s4-c2881c226349/step_00002300.pt,a7c301eb8657d5a9c5ffdbc0ded767e31ddfe9fcdc3252959a28da389931f59f,
4,stage18-main-training-s4-c2881c226349,50%,selected,5150,1.0,0.5118021965026855,5.715196493838448e-07,4.004035949707031,0.5,0.011802196502685547,,checkpoints/stage18-main-training-s4-c2881c226349/step_00005150.pt,3a0e70b7a686ae4eec08ad7d88b374b2396d694ef0575753a98ed6a293fdffbe,
4,stage18-main-training-s4-c2881c226349,stable post-grokking,selected,6850,1.0,0.9987694621086121,0.0012590551050379872,0.011271985247731209,,,6650|6700|6750|6800|6850,checkpoints/stage18-main-training-s4-c2881c226349/step_00006850.pt,72fb5ec3fb9b6c99f26f2dd0fee6c3fc22a8ff574726aed7a64aa30796da3a9a,
